plot,species,cover
1,Dactylis glomerata,0.253424658
1,Plantago lagopus,0.116438356
1,Tolpis barbata,0.116438356
1,Trifolium cherleri,0.51369863
2,Biserrula pelecinus,0.030456853
2,Hedypnois cretica,0.030456853
2,Leontodon taraxacoides,0.086294416
2,Plantago lagopus,0.187817259
2,Rumex acetosella,0.030456853
2,Trifolium cherleri,0.634517766
3,Anthyllis lotoides,0.160377358
3,Centaurea sp,0.349056604
3,Dactylis glomerata,0.056603774
3,Plantago lagopus,0.056603774
3,Tolpis barbata,0.160377358
3,Trifolium cherleri,0.160377358
3,Trifolium glomeratum,0.056603774
4,Centaurea sp,0.238709677
4,Plantago lagopus,0.038709677
4,Trifolium cherleri,0.483870968
4,Trifolium hirtum,0.238709677
5,Echium plantagineum,0.054545455
5,Leontodon taraxacoides,0.054545455
5,Plantago lagopus,0.681818182
5,Tolpis barbata,0.054545455
5,Trifolium cherleri,0.154545455
6,Misopates orontium,0.028708134
6,Anthyllis cornicina,0.177033493
6,Biserrula pelecinus,0.081339713
6,Echium plantagineum,0.177033493
6,Plantago lagopus,0.358851675
6,Trifolium cherleri,0.177033493
7,Anthyllis cornicina,0.460122699
7,Biserrula pelecinus,0.104294479
7,Bromus rubens,0.104294479
7,Plantago lagopus,0.226993865
7,Trifolium cherleri,0.104294479
8,Anthyllis cornicina,0.339449541
8,Biserrula pelecinus,0.055045872
8,Bromus matritensis,0.055045872
8,Echium plantagineum,0.339449541
8,Lamarchia aurea,0.055045872
8,Plantago lagopus,0.155963303
9,Anthemis arvensis,0.153153153
9,Biserrula pelecinus,0.054054054
9,Bromus hordeaceus,0.153153153
9,Lamarchia aurea,0.153153153
9,Plantago lagopus,0.153153153
9,Trifolium striatum,0.333333333
10,Biserrula pelecinus,0.28030303
10,Chamaemellum mixtum,0.045454545
10,Petrorhagia nanteuilli,0.045454545
10,Plantago coronopus,0.128787879
10,Plantago lagopus,0.28030303
10,Spergularia purpurea,0.045454545
10,Tolpis barbata,0.045454545
10,Trifolium tomentosum,0.128787879
11,Biserrula pelecinus,0.23566879
11,Lactuca tenerrima,0.108280255
11,Leontodon taraxacoides,0.038216561
11,Plantago lagopus,0.23566879
11,Psilurus incurvus,0.108280255
11,Trifolium cherleri,0.23566879
11,Trifolium hirtum,0.038216561
12,Anthemis arvensis,0.202185792
12,Biserrula pelecinus,0.202185792
12,Crepis capillaris,0.032786885
12,Dactylis glomerata,0.202185792
12,Neatostema apulum,0.032786885
12,Plantago lagopus,0.092896175
12,Tolpis barbata,0.032786885
12,Trifolium cherleri,0.202185792
13,Anthyllis cornicina,0.097701149
13,Biserrula pelecinus,0.097701149
13,Bromus hordeaceus,0.212643678
13,Dactylis glomerata,0.097701149
13,Plantago lagopus,0.212643678
13,Polycarpon tetraphyllum,0.034482759
13,Trifolium cherleri,0.212643678
13,Trifolium glomeratum,0.034482759
14,Anacyclus clavatus,0.17
14,Anthyllis cornicina,0.06
14,Biserrula pelecinus,0.17
14,Echium plantagineum,0.17
14,Plantago lagopus,0.37
14,Trifolium cherleri,0.06
15,Anthemis arvensis,0.074561404
15,Biserrula pelecinus,0.074561404
15,Bromus hordeaceus,0.026315789
15,Echium plantagineum,0.074561404
15,Filago pyramidata,0.026315789
15,Lolium rigidum,0.026315789
15,Plantago lagopus,0.074561404
15,Trifolium cherleri,0.074561404
15,Trifolium glomeratum,0.548245614
16,Anthemis arvensis,0.032608696
16,Anthyllis cornicina,0.201086957
16,Biserrula pelecinus,0.092391304
16,Echium plantagineum,0.407608696
16,Plantago lagopus,0.201086957
16,Psilurus incurvus,0.032608696
16,Tolpis barbata,0.032608696
17,Trisetum paniceum,0.040540541
17,Biserrula pelecinus,0.114864865
17,Bromus hordeaceus,0.114864865
17,Bromus tectorum,0.25
17,Echium plantagineum,0.25
17,Plantago lagopus,0.114864865
17,Vulpia ciliata,0.114864865
18,Trisetum paniceum,0.035294118
18,Anthemis arvensis,0.1
18,Dactylis glomerata,0.217647059
18,Echium plantagineum,0.1
18,Plantago lagopus,0.035294118
18,Psilurus incurvus,0.035294118
18,Trifolium cherleri,0.441176471
18,Vulpia ciliata,0.035294118
19,Trisetum paniceum,0.055555556
19,Aegilops triuncialis,0.157407407
19,Biserrula pelecinus,0.157407407
19,Echium plantagineum,0.157407407
19,Eryngium campestre,0.157407407
19,Plantago lagopus,0.157407407
19,Vulpia ciliata,0.157407407
20,Trisetum paniceum,0.11038961
20,Anthemis arvensis,0.11038961
20,Biserrula pelecinus,0.24025974
20,Crepis capillaris,0.11038961
20,Echium plantagineum,0.24025974
20,Plantago lagopus,0.038961039
20,Trifolium cherleri,0.11038961
20,Vulpia ciliata,0.038961039
21,Trisetum paniceum,0.104938272
21,Biserrula pelecinus,0.104938272
21,Convolvulus arvensis,0.228395062
21,Dactylis glomerata,0.228395062
21,Echium plantagineum,0.228395062
21,Hordeum murinum,0.104938272
22,Trisetum paniceum,0.025104603
22,Anthemis arvensis,0.154811715
22,Biserrula pelecinus,0.523012552
22,Echium plantagineum,0.071129707
22,Trifolium cherleri,0.071129707
22,Trifolium glomeratum,0.154811715
23,Biserrula pelecinus,0.245033113
23,Crepis taraxacifolia,0.112582781
23,Eryngium campestre,0.245033113
23,Plantago lagopus,0.112582781
23,Trifolium cherleri,0.245033113
23,Trifolium glomeratum,0.039735099
24,Aegilops triuncialis,0.029268293
24,Anthemis arvensis,0.082926829
24,Biserrula pelecinus,0.180487805
24,Bromus hordeaceus,0.082926829
24,Bromus rubens,0.180487805
24,Eryngium campestre,0.082926829
24,Hordeum murinum,0.180487805
24,Medicago sativa,0.180487805
25,Anthemis arvensis,0.316239316
25,Biserrula pelecinus,0.145299145
25,Dactylis glomerata,0.145299145
25,Echium plantagineum,0.051282051
25,Hordeum murinum,0.051282051
25,Medicago sativa,0.145299145
25,Sisymbrium officinale,0.145299145
26,Avena barbata,0.125
26,Biserrula pelecinus,0.125
26,Bromus hordeaceus,0.125
26,Bromus rubens,0.125
26,Crepis capillaris,0.125
26,Eryngium campestre,0.125
26,Hordeum murinum,0.125
26,Trifolium glomeratum,0.125
27,Bromus hordeaceus,0.175257732
27,Bromus rubens,0.175257732
27,Echium plantagineum,0.175257732
27,Hordeum murinum,0.175257732
27,Plantago lagopus,0.175257732
27,Sisymbrium cavanillesianum,0.06185567
27,Trifolium striatum,0.06185567
28,Bromus hordeaceus,0.149122807
28,Bromus rubens,0.324561404
28,Echium plantagineum,0.052631579
28,Hordeum murinum,0.149122807
28,Medicago sativa,0.324561404
29,Bromus hordeaceus,0.161904762
29,Bromus rubens,0.352380952
29,Dactylis glomerata,0.161904762
29,Echium plantagineum,0.161904762
29,Silene vulgaris,0.161904762
30,Anthemis arvensis,0.480519481
30,Bromus rubens,0.220779221
30,Bromus tectorum,0.220779221
30,Plantago lagopus,0.077922078
31,Anthemis arvensis,0.051724138
31,Biserrula pelecinus,0.051724138
31,Bromus rubens,0.146551724
31,Medicago sativa,0.646551724
31,Plantago lagopus,0.051724138
31,Trifolium cherleri,0.051724138
32,Biserrula pelecinus,0.106918239
32,Bromus rubens,0.106918239
32,Crepis taraxacifolia,0.106918239
32,Dactylis glomerata,0.106918239
32,Hordeum murinum,0.232704403
32,Plantago lagopus,0.106918239
32,Trifolium striatum,0.232704403
33,Biserrula pelecinus,0.04379562
33,Bromus hordeaceus,0.124087591
33,Bromus rubens,0.270072993
33,Crepis taraxacifolia,0.124087591
33,Echium plantagineum,0.124087591
33,Plantago lagopus,0.04379562
33,Trifolium cherleri,0.270072993
34,Anthemis arvensis,0.134920635
34,Biserrula pelecinus,0.047619048
34,Bromus rubens,0.134920635
34,Neatostema apulum,0.047619048
34,Ornithopus compressus,0.047619048
34,Plantago lagopus,0.293650794
34,Trifolium cherleri,0.293650794
35,Anthemis arvensis,0.11038961
35,Bromus hordeaceus,0.038961039
35,Convolvulus arvensis,0.11038961
35,Crepis capillaris,0.038961039
35,Ornithopus compressus,0.11038961
35,Plantago lagopus,0.24025974
35,Trifolium cherleri,0.24025974
35,Vulpia ciliata,0.11038961
36,Anthemis arvensis,0.304878049
36,Biserrula pelecinus,0.069105691
36,Neatostema apulum,0.024390244
36,Ornithopus compressus,0.024390244
36,Plantago lagopus,0.069105691
36,Trifolium cherleri,0.508130081
37,Anthemis arvensis,0.158798283
37,Bromus hordeaceus,0.158798283
37,Echium plantagineum,0.072961373
37,Medicago sativa,0.072961373
37,Plantago lagopus,0.536480687
38,Echium plantagineum,0.883838384
38,Eryngium campestre,0.085858586
38,Lolium rigidum,0.03030303
39,Anthemis arvensis,0.198924731
39,Carthamus sp,0.091397849
39,Echium plantagineum,0.403225806
39,Foeniculum vulgare,0.091397849
39,Hordeum murinum,0.032258065
39,Lolium rigidum,0.091397849
39,Plantago lagopus,0.091397849
40,Anthemis arvensis,0.101190476
40,Bellardia trixago,0.101190476
40,Biserrula pelecinus,0.035714286
40,Echium plantagineum,0.220238095
40,Hordeum murinum,0.101190476
40,Plantago lagopus,0.220238095
40,Trifolium cherleri,0.220238095
