plot,species,individual,height,sla
1,Dactylis glomerata,1,14.0,13.09672387
1,Dactylis glomerata,2,16.0,20.214326
1,Dactylis glomerata,3,12.0,28.2424812
1,Dactylis glomerata,4,12.0,22.28855721
1,Dactylis glomerata,5,10.0,24.14670659
1,Dactylis glomerata,6,14.0,26.23737374
1,Dactylis glomerata,7,9.0,25.2853598
1,Dactylis glomerata,8,12.0,22.41847826
1,Dactylis glomerata,9,16.0,24.64330413
1,Dactylis glomerata,10,8.0,18.25628548
1,Plantago lagopus,1,4.0,14.65208748
1,Plantago lagopus,2,4.2,15.64516129
1,Plantago lagopus,3,2.0,16.93238043
1,Plantago lagopus,4,4.4,17.1409396
1,Plantago lagopus,5,4.6,15.46829971
1,Plantago lagopus,6,3.2,14.09682081
1,Plantago lagopus,7,3.6,14.90196078
1,Plantago lagopus,8,4.0,20.4432133
1,Plantago lagopus,9,3.8,16.79699248
1,Plantago lagopus,10,4.4,15.57640751
1,Tolpis barbata,1,6.5,27.00808625
1,Tolpis barbata,2,8.0,26.70771757
1,Tolpis barbata,3,6.1,17.48637602
1,Tolpis barbata,4,4.3,32.72727273
1,Tolpis barbata,5,4.8,20.68965517
1,Tolpis barbata,6,3.5,21.87615527
1,Tolpis barbata,7,3.5,20.97014925
1,Tolpis barbata,8,4.5,18.26315789
1,Tolpis barbata,9,5.2,25.5362776
1,Tolpis barbata,10,6.5,25.0
1,Trifolium cherleri,1,4.0,19.82550336
1,Trifolium cherleri,2,5.5,21.59090909
1,Trifolium cherleri,3,2.9,21.05417277
1,Trifolium cherleri,4,3.1,16.65594855
1,Trifolium cherleri,5,3.0,22.51655629
1,Trifolium cherleri,6,5.0,23.47457627
1,Trifolium cherleri,7,2.7,20.27314112
1,Trifolium cherleri,8,2.1,21.43776824
1,Trifolium cherleri,9,3.5,21.13259669
1,Trifolium cherleri,10,3.4,20.42253521
2,Biserrula pelecinus,1,3.6,14.2522
2,Biserrula pelecinus,3,2.1,15.97156
2,Biserrula pelecinus,4,1.7,22.67157
2,Biserrula pelecinus,5,3.1,27.53906
2,Biserrula pelecinus,6,3.8,17.91667
2,Biserrula pelecinus,7,4.1,15.93801
2,Biserrula pelecinus,8,2.3,11.8408
2,Biserrula pelecinus,9,3.7,9.10714
2,Hedypnois cretica,1,4.8,26.75676
2,Hedypnois cretica,2,4.5,28.10127
2,Hedypnois cretica,3,7.2,26.67494
2,Hedypnois cretica,4,4.0,27.65199
2,Hedypnois cretica,5,2.7,28.63636
2,Hedypnois cretica,6,1.9,25.79876
2,Hedypnois cretica,8,3.2,28.51293
2,Hedypnois cretica,9,4.1,32.98507
